iter	MultiClass
0	0.9177099751
1	0.7813419918
2	0.6730488437
3	0.5853095429
4	0.5133976067
5	0.4527383904
6	0.4020088455
7	0.3581507117
8	0.319547366799	0.2863168319110	0.2574390831111	0.2317067361112	0.209258734113	0.1891383583114	0.1718237017115	0.1560098677116	0.1420122749117	0.129424131
18	0.1180337019
19	0.1082820256
20	0.09929949562
21	0.09108514187
22	0.08376293804
23	0.07722858724
24	0.07136957757
25	0.06605754488
26	0.06125898062
27	0.05693951064
28	0.05317053299
29	0.04958850077
30	0.04655157387
31	0.04393346816
32	0.04124825766
33	0.03897179696
34	0.03674182113
35	0.03476343158
36	0.03301480424
37	0.03142570643
38	0.02993729389
39	0.02855488702
40	0.02732957572
41	0.02615104543
42	0.02521186593
43	0.02428696117
44	0.02350436046
45	0.02269578055
46	0.02206671524
47	0.02138861435
48	0.02086658452
49	0.0203292418
50	0.0198028799
51	0.01935243664
52	0.01891037411
53	0.01855351742
54	0.01821011701
55	0.01791806718
56	0.01764122182
57	0.01742373554
58	0.01724545462
59	0.01699868096
60	0.01680157579
61	0.01667221636
62	0.01649100147663	0.0163238319664	0.01612703994665	0.01600598595
66	0.01587632132
67	0.01574785798668	0.01563647864
69	0.01551453853
70	0.01542355354
71	0.01532260058
72	0.0152714414
73	0.01527027733
74	0.01514597681
75	0.01502219354
76	0.01491186767
77	0.01485694418
78	0.01478476387
79	0.01476729038
80	0.01472555468
81	0.01469594292
82	0.01461895636
83	0.01457230049
84	0.01450512987
85	0.01446312086
86	0.01439968508
87	0.01437296104
88	0.01432025947
89	0.01429379195
90	0.014293261
91	0.01426688744
92	0.01421883556
93	0.01421226863
94	0.01416938816
95	0.01414644785
96	0.01410621566
97	0.01406555171
98	0.01402564503
99	0.01401029472
100	0.01400814809
101	0.01400680606
102	0.01397220601
103	0.01395772583
104	0.01393344728
105	0.01392442842
106	0.01391595102
107	0.013883045121108	0.013853158411109	0.013830519131110	0.0138271784
111	0.01380393428
112	0.01377815069
113	0.01374480792
114	0.0137267391
115	0.01370583687
116	0.01369783894
117	0.01360959627
118	0.01357519458
119	0.01355325552
120	0.01349958962
121	0.01346528589
122	0.01344676963
123	0.01343466467
124	0.01342850939
125	0.01342254343
126	0.013404623431127	0.01337226
128	0.01335639425
129	0.01333682063
130	0.01330078124
131	0.01329783887
132	0.01328771076
133	0.013277086
134	0.01326848202
135	0.0132602808
136	0.0132504917
